Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
04/01/2015_10:02:46.016 1 1 1 1 4 no
04/01/2015_10:02:47.016 1 1 1 1 1 no
04/01/2015_10:02:48.016 1 1 1 1 1 no
04/01/2015_10:02:49.016 1 1 1 1 2 no
04/01/2015_10:02:50.016 1 1 1 1 4 no
04/01/2015_10:02:51.016 1 1 1 1 4 no
04/01/2015_10:02:52.016 1 1 1 1 2 no
04/01/2015_10:02:53.016 1 1 1 1 1 no
04/01/2015_10:02:54.016 1 1 1 1 1 no
04/01/2015_10:02:55.016 1 1 1 1 1 no
04/01/2015_10:02:56.016 1 1 1 1 1 no
04/01/2015_10:02:57.016 1 1 1 1 3 no
04/01/2015_10:02:58.016 1 1 1 1 1 no
04/01/2015_10:02:59.016 1 1 1 1 3 no
04/01/2015_10:03:00.016 1 1 1 1 3 no
04/01/2015_10:03:01.016 1 1 1 1 2 no
04/01/2015_10:03:02.016 1 1 1 1 2 no
04/01/2015_10:03:03.016 1 1 1 1 1 no
04/01/2015_10:03:04.016 1 1 1 1 3 no
04/01/2015_10:03:05.016 1 1 1 1 2 no
04/01/2015_10:03:06.016 1 1 1 1 3 no
04/01/2015_10:03:07.016 1 1 1 1 2 no
04/01/2015_10:03:08.032 1 1 1 1 2 no
04/01/2015_10:03:09.048 1 1 1 1 3 no
04/01/2015_10:03:10.048 1 1 1 1 1 no
04/01/2015_10:03:11.048 1 1 1 1 1 no
04/01/2015_10:03:12.063 1 1 1 1 1 no
04/01/2015_10:03:13.079 1 1 1 1 2 no
04/01/2015_10:03:14.079 1 1 1 1 1 no
04/01/2015_10:03:15.094 1 1 1 1 1 no
04/01/2015_10:03:16.094 1 1 1 1 1 no
04/01/2015_10:03:17.094 1 1 1 1 1 no
04/01/2015_10:03:18.094 1 1 1 1 1 no
04/01/2015_10:03:19.094 1 1 1 1 1 no
04/01/2015_10:03:20.094 1 1 1 1 1 no
04/01/2015_10:03:21.094 1 1 1 1 1 no
04/01/2015_10:03:22.094 1 1 1 1 1 no
04/01/2015_10:03:23.094 1 1 1 1 1 no
04/01/2015_10:03:24.094 1 1 1 1 1 no
04/01/2015_10:03:25.094 1 1 1 1 1 no
04/01/2015_10:03:26.094 1 1 1 1 1 no
04/01/2015_10:03:27.094 1 1 1 1 1 no
04/01/2015_10:03:28.094 1 1 1 1 1 no
04/01/2015_10:03:29.094 1 1 1 1 2 no
04/01/2015_10:03:30.094 1 1 1 1 1 no
04/01/2015_10:03:31.094 1 1 1 1 1 no
04/01/2015_10:03:32.094 1 1 1 1 1 no
