"(PDH-CSV 4.0) (India Standard Time)(-330)","\\RODNEY-A9F2EF35\ICMP\Messages Sent/sec","\\RODNEY-A9F2EF35\ICMP\Messages/sec","\\RODNEY-A9F2EF35\ICMP\Sent Echo/sec","\\RODNEY-A9F2EF35\Memory\% Committed Bytes In Use","\\RODNEY-A9F2EF35\Processor(_Total)\% Processor Time"
"04/01/2015 10:02:46.016","0.0043071626892577878","0.0086143253785155756","0.0043071626892577878","12.447820691211312","99.999998634042953"
"04/01/2015 10:02:47.016","0","0","0","12.475398944505033","18.75"
"04/01/2015 10:02:48.016","0","0","0","12.474772166021085","14.0625"
"04/01/2015 10:02:49.016","0","0","0","12.473205219811215","26.5625"
"04/01/2015 10:02:50.016","0","0","0","12.47978639389267","90.625"
"04/01/2015 10:02:51.016","0","0","0","12.480099783134644","100"
"04/01/2015 10:02:52.016","0","0","0","12.482606897070438","50"
"04/01/2015 10:02:53.016","0","0","0","12.48354706479636","25"
"04/01/2015 10:02:54.016","0","0","0","12.482606897070438","7.8125"
"04/01/2015 10:02:55.016","0","0","0","12.482606897070438","21.875"
"04/01/2015 10:02:56.016","0","0","0","12.482920286312412","18.75"
"04/01/2015 10:02:57.016","0","0","0","12.480413172376618","59.375"
"04/01/2015 10:02:58.016","0","0","0","12.480413172376618","12.5"
"04/01/2015 10:02:59.016","0","0","0","12.45220814059895","67.1875"
"04/01/2015 10:03:00.016","0","0","0","12.45064119438908","65.625"
"04/01/2015 10:03:01.016","0","0","0","12.451267972873028","37.5"
"04/01/2015 10:03:02.016","0","0","0","12.45064119438908","31.25"
"04/01/2015 10:03:03.016","0","0","0","12.45534203301869","12.5"
"04/01/2015 10:03:04.016","0","0","0","12.458162536196458","64.0625"
"04/01/2015 10:03:05.016","0","0","0","12.496082634475323","50"
"04/01/2015 10:03:06.016","0","0","0","12.497962969927167","57.8125"
"04/01/2015 10:03:07.016","0","0","0","12.502350419314807","46.875"
"04/01/2015 10:03:08.032","0","0","0","12.517706492171538","43.07692307692308"
"04/01/2015 10:03:09.048","0","0","0","12.538390182141828","58.461538461538453"
"04/01/2015 10:03:10.048","0","0","0","12.533375954270243","3.125"
"04/01/2015 10:03:11.048","0","0","0","12.533375954270243","7.8125"
"04/01/2015 10:03:12.063","0","0","0","12.542777631529464","21.53846153846154"
"04/01/2015 10:03:13.079","0","0","0","12.663432489689495","46.153846153846153"
"04/01/2015 10:03:14.079","0","0","0","12.664686046657389","12.5"
"04/01/2015 10:03:15.094","0","0","0","12.663432489689495","16.92307692307692"
"04/01/2015 10:03:16.094","0","0","0","12.663119100447521","14.0625"
"04/01/2015 10:03:17.094","0","0","0","12.665939603625286","21.875"
"04/01/2015 10:03:18.094","0","0","0","12.664059268173441","15.625"
"04/01/2015 10:03:19.094","0","0","0","12.664999435899366","4.6875"
"04/01/2015 10:03:20.094","0","0","0","12.666566382109234","6.25"
"04/01/2015 10:03:21.094","0","0","0","12.664999435899366","3.125"
"04/01/2015 10:03:22.094","0","0","0","12.665939603625286","17.1875"
"04/01/2015 10:03:23.094","0","0","0","12.663745878931469","9.375"
"04/01/2015 10:03:24.094","0","0","0","12.664686046657389","20.3125"
"04/01/2015 10:03:25.094","0","0","0","12.665626214383312","17.1875"
"04/01/2015 10:03:26.094","0","0","0","12.665626214383312","10.9375"
"04/01/2015 10:03:27.094","0","0","0","12.664372657415415","4.6875"
"04/01/2015 10:03:28.094","0","0","0","12.664999435899366","3.125"
"04/01/2015 10:03:29.094","0","0","0","12.667193160593182","26.5625"
"04/01/2015 10:03:30.094","0","0","0","12.664686046657389","9.375"
"04/01/2015 10:03:31.094","0","0","0","12.664686046657389","18.75"
"04/01/2015 10:03:32.094","0","0","0","12.665626214383312","15.625"
"04/01/2015 10:03:33.094","0","0","0","12.667193160593182","7.8125"
"04/01/2015 10:03:34.094","0","0","0","12.666566382109234","7.8125"
"04/01/2015 10:03:35.094","0","0","0","12.669073496045028","7.8125"
"04/01/2015 10:03:36.094","0","0","0","12.669700274528974","3.125"
"04/01/2015 10:03:37.094","0","0","0","12.675968059368458","7.8125"
"04/01/2015 10:03:38.094","0","0","0","12.66844671756108","7.8125"
"04/01/2015 10:03:39.094","0","0","0","12.669386885287","3.125"
"04/01/2015 10:03:40.094","0","0","0","12.670953831496872","6.25"
"04/01/2015 10:03:41.094","0","0","0","12.669073496045028","6.25"
"04/01/2015 10:03:42.094","0","0","0","12.670013663770948","4.6875"
"04/01/2015 10:03:43.094","0","0","0","12.6706404422549","3.125"
"04/01/2015 10:03:44.094","0","0","0","12.667193160593182","14.0625"
"04/01/2015 10:03:45.094","0","0","0","12.667506549835158","3.125"
"04/01/2015 10:03:46.094","0","0","0","12.654970980156193","9.375"
"04/01/2015 10:03:47.094","0","0","0","12.647136249106842","4.6875"
"04/01/2015 10:03:48.094","0","0","0","12.648076416832762","4.6875"
"04/01/2015 10:03:49.094","0","0","0","12.645882692138944","4.6875"
"04/01/2015 10:03:50.094","0","0","0","12.646196081380918","10.9375"
"04/01/2015 10:03:51.094","0","0","0","12.646822859864868","4.6875"
"04/01/2015 10:03:52.094","0","0","0","12.648076416832762","7.8125"
"04/01/2015 10:03:53.094","0","0","0","12.639301518057488","4.6875"
"04/01/2015 10:03:54.094","0","0","0","12.63804796108959","6.25"
