Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
03/28/2015_13:41:01.540 1 1 1 3 1 no
03/28/2015_13:41:02.556 1 1 1 3 1 no
03/28/2015_13:41:03.556 1 1 3 3 1 no
03/28/2015_13:41:04.556 1 1 1 3 1 no
03/28/2015_13:41:05.572 1 1 1 3 1 no
03/28/2015_13:41:06.587 1 1 1 3 1 no
03/28/2015_13:41:07.587 1 1 1 3 1 no
03/28/2015_13:41:08.587 1 1 3 3 1 no
03/28/2015_13:41:09.587 1 1 1 3 1 no
03/28/2015_13:41:10.603 1 1 1 3 2 no
03/28/2015_13:41:11.618 1 1 1 3 1 no
03/28/2015_13:41:12.618 1 1 1 3 1 no
03/28/2015_13:41:13.618 1 1 3 3 1 no
03/28/2015_13:41:14.618 1 1 1 3 1 no
03/28/2015_13:41:15.634 1 1 1 3 1 no
03/28/2015_13:41:16.634 1 1 1 3 1 no
03/28/2015_13:41:17.650 1 1 1 3 1 no
03/28/2015_13:41:18.665 1 1 3 3 1 no
03/28/2015_13:41:19.665 2 2 4 3 2 no
03/28/2015_13:41:20.681 1 1 3 3 1 no
03/28/2015_13:41:21.697 1 1 3 3 1 no
03/28/2015_13:41:22.712 1 1 1 3 3 yes
03/28/2015_13:41:23.728 1 1 3 3 2 no
03/28/2015_13:41:24.743 1 1 3 3 2 no
03/28/2015_13:41:25.743 1 2 4 3 3 yes
03/28/2015_13:41:26.743 1 1 4 3 3 yes
03/28/2015_13:41:27.743 1 2 1 3 4 yes
03/28/2015_13:41:28.743 1 1 1 3 4 yes
03/28/2015_13:41:29.759 1 1 1 3 2 no
03/28/2015_13:41:30.775 2 2 3 3 1 no
03/28/2015_13:41:31.775 2 2 4 3 2 no
03/28/2015_13:41:32.775 2 2 4 3 4 yes
03/28/2015_13:41:33.775 1 1 3 4 4 yes
03/28/2015_13:41:34.775 1 2 1 4 4 yes
03/28/2015_13:41:35.775 1 1 1 4 4 yes
03/28/2015_13:41:36.775 1 1 1 4 4 yes
03/28/2015_13:41:37.775 1 1 1 4 4 yes
03/28/2015_13:41:38.775 1 1 1 4 4 yes
03/28/2015_13:41:39.775 1 1 1 4 4 yes
03/28/2015_13:41:40.775 1 1 1 4 4 yes
03/28/2015_13:41:41.790 1 1 1 4 2 no
03/28/2015_13:41:42.790 1 1 1 4 2 no
03/28/2015_13:41:43.790 1 1 1 4 4 yes
03/28/2015_13:41:44.790 1 1 1 4 4 yes
03/28/2015_13:41:46.790 1 1 1 4 3 yes
03/28/2015_13:41:47.790 1 1 1 4 2 no
03/28/2015_13:41:48.790 1 1 1 3 2 no
03/28/2015_13:41:49.790 1 1 1 4 3 yes
03/28/2015_13:41:50.790 1 1 1 4 3 yes
03/28/2015_13:41:51.790 1 1 1 3 4 yes
