Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
03/28/2015_16:21:42.081 1 1 1 1 1 no
03/28/2015_16:21:43.081 1 1 1 1 1 no
03/28/2015_16:21:44.081 1 1 1 1 1 no
03/28/2015_16:21:45.081 1 1 1 1 1 no
03/28/2015_16:21:46.096 1 1 1 1 1 no
03/28/2015_16:21:47.096 1 1 1 1 1 no
03/28/2015_16:21:48.096 1 1 1 1 1 no
03/28/2015_16:21:49.096 1 1 1 1 1 no
03/28/2015_16:21:50.096 1 1 1 1 1 no
03/28/2015_16:21:51.096 1 1 1 1 1 no
03/28/2015_16:21:52.096 1 1 1 1 1 no
03/28/2015_16:21:53.096 1 1 1 1 1 no
03/28/2015_16:21:54.096 1 1 1 1 1 no
03/28/2015_16:21:55.096 1 1 1 1 1 no
03/28/2015_16:21:56.096 1 1 1 1 1 no
03/28/2015_16:21:57.096 1 1 1 1 1 no
03/28/2015_16:21:58.096 1 1 1 1 1 no
03/28/2015_16:21:59.096 1 1 1 1 1 no
03/28/2015_16:22:00.096 1 1 1 1 1 no
03/28/2015_16:22:01.096 1 1 1 1 1 no
03/28/2015_16:22:02.096 1 1 1 1 1 no
03/28/2015_16:22:03.096 1 1 1 1 1 no
03/28/2015_16:22:04.096 1 1 1 1 1 no
03/28/2015_16:22:05.096 1 1 1 1 1 no
03/28/2015_16:22:06.096 1 1 1 1 1 no
03/28/2015_16:22:07.096 1 1 1 1 1 no
03/28/2015_16:22:08.096 1 1 1 1 1 no
03/28/2015_16:22:09.096 1 1 1 1 1 no
03/28/2015_16:22:10.096 1 1 1 1 1 no
03/28/2015_16:22:11.096 1 1 1 1 1 no
03/28/2015_16:22:12.096 1 1 1 1 1 no
03/28/2015_16:22:13.096 1 1 1 1 1 no
03/28/2015_16:22:14.096 1 1 1 1 1 no
03/28/2015_16:22:15.096 1 1 1 1 1 no
03/28/2015_16:22:16.096 1 1 1 1 1 no
03/28/2015_16:22:17.096 1 1 1 1 1 no
03/28/2015_16:22:18.096 1 1 1 1 1 no
03/28/2015_16:22:19.096 1 1 1 1 1 no
03/28/2015_16:22:20.096 1 1 1 1 1 no
03/28/2015_16:22:21.096 1 1 1 1 1 no
03/28/2015_16:22:22.096 1 1 1 1 1 no
03/28/2015_16:22:23.096 1 1 1 1 1 no
03/28/2015_16:22:24.096 1 1 1 1 1 no
03/28/2015_16:22:25.096 1 1 1 1 1 no
03/28/2015_16:22:26.096 1 1 1 1 1 no
03/28/2015_16:22:27.096 1 1 1 1 1 no
03/28/2015_16:22:28.096 1 1 1 1 1 no
03/28/2015_16:22:29.096 1 1 1 1 1 no
03/28/2015_16:22:30.096 1 1 1 1 1 no
03/28/2015_16:22:31.096 1 1 1 1 1 no
03/28/2015_16:22:32.096 1 1 1 1 1 no
03/28/2015_16:22:33.096 1 1 1 1 1 no
03/28/2015_16:22:34.096 1 1 1 1 1 no
03/28/2015_16:22:35.096 1 1 1 1 1 no
03/28/2015_16:22:36.096 1 1 1 1 1 no
03/28/2015_16:22:37.096 1 1 1 1 1 no
03/28/2015_16:22:38.096 1 1 1 1 1 no
03/28/2015_16:22:39.096 1 1 1 1 1 no
03/28/2015_16:22:40.096 1 1 1 1 1 no
03/28/2015_16:22:41.096 1 1 1 1 1 no
03/28/2015_16:22:42.096 1 1 1 1 1 no
03/28/2015_16:22:43.096 1 1 1 1 1 no
03/28/2015_16:22:44.096 1 1 1 1 1 no
03/28/2015_16:22:45.096 1 1 1 1 1 no
03/28/2015_16:22:46.096 1 1 1 1 1 no
03/28/2015_16:22:47.096 1 1 1 1 1 no
03/28/2015_16:22:48.096 1 1 1 1 1 no
03/28/2015_16:22:49.096 1 1 1 1 1 no
03/28/2015_16:22:50.096 1 1 1 1 1 no
03/28/2015_16:22:51.096 1 1 1 1 1 no
03/28/2015_16:22:52.096 1 1 1 1 1 no
03/28/2015_16:22:53.096 1 1 1 1 1 no
03/28/2015_16:22:54.096 1 1 1 1 1 no
03/28/2015_16:22:55.096 1 1 1 1 1 no
03/28/2015_16:22:56.096 1 1 1 1 1 no
