Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
03/28/2015_13:43:56.525 1 2 4 4 2 yes
03/28/2015_13:43:57.540 1 1 3 4 2 no
03/28/2015_13:43:58.540 1 2 4 4 1 no
03/28/2015_13:43:59.540 2 2 4 4 3 yes
03/28/2015_13:44:00.540 2 2 4 4 3 yes
03/28/2015_13:44:01.540 1 1 1 4 2 no
03/28/2015_13:44:02.540 1 1 1 4 4 yes
03/28/2015_13:44:03.540 1 1 1 4 4 yes
03/28/2015_13:44:04.540 1 1 1 4 3 yes
03/28/2015_13:44:05.540 1 1 4 4 2 yes
03/28/2015_13:44:06.540 1 1 1 4 3 yes
03/28/2015_13:44:07.540 1 1 1 4 3 yes
03/28/2015_13:44:08.540 1 1 1 4 4 yes
03/28/2015_13:44:09.540 4 3 1 4 3 yes
03/28/2015_13:44:10.540 4 4 4 4 2 yes
03/28/2015_13:44:11.556 1 1 1 4 3 yes
03/28/2015_13:44:12.572 1 1 1 4 2 no
03/28/2015_13:44:13.572 4 4 1 4 3 yes
03/28/2015_13:44:14.587 1 1 1 4 3 yes
03/28/2015_13:44:15.587 1 1 3 4 2 no
03/28/2015_13:44:16.603 4 3 1 4 2 yes
03/28/2015_13:44:17.603 4 3 1 4 1 no
03/28/2015_13:44:18.603 2 2 1 4 2 no
03/28/2015_13:44:19.618 1 1 1 4 2 no
03/28/2015_13:44:20.618 1 1 1 4 1 no
03/28/2015_13:44:21.618 1 1 1 4 2 no
03/28/2015_13:44:22.634 1 1 3 4 1 no
03/28/2015_13:44:23.634 3 2 1 4 2 no
03/28/2015_13:44:24.634 1 1 1 4 2 no
03/28/2015_13:44:25.650 1 1 1 4 2 no
03/28/2015_13:44:26.650 1 1 1 4 1 no
03/28/2015_13:44:27.665 1 1 3 4 1 no
03/28/2015_13:44:28.665 1 1 1 4 2 no
03/28/2015_13:44:29.681 1 1 1 4 2 no
03/28/2015_13:44:30.681 1 1 1 4 2 no
03/28/2015_13:44:31.681 1 1 1 4 1 no
03/28/2015_13:44:32.681 1 1 3 4 1 no
03/28/2015_13:44:33.681 1 1 1 4 2 no
03/28/2015_13:44:34.681 1 1 1 4 2 no
03/28/2015_13:44:35.681 1 1 1 4 1 no
03/28/2015_13:44:36.697 1 1 1 4 1 no
03/28/2015_13:44:37.697 1 1 4 4 1 no
03/28/2015_13:44:38.697 1 1 1 4 2 no
03/28/2015_13:44:39.712 1 1 1 4 2 no
03/28/2015_13:44:40.712 1 1 1 4 1 no
03/28/2015_13:44:41.712 1 1 1 4 1 no
03/28/2015_13:44:42.712 1 1 3 4 1 no
03/28/2015_13:44:43.712 1 1 1 4 2 no
03/28/2015_13:44:44.728 1 1 1 4 2 no
03/28/2015_13:44:45.743 1 1 1 4 2 no
03/28/2015_13:44:46.743 1 1 1 4 2 no
03/28/2015_13:44:47.759 1 1 3 4 1 no
03/28/2015_13:44:48.759 1 1 1 4 2 no
03/28/2015_13:44:49.759 1 1 1 4 2 no
03/28/2015_13:44:50.759 1 1 1 4 1 no
03/28/2015_13:44:51.775 1 1 1 4 1 no
03/28/2015_13:44:52.775 1 1 3 4 1 no
03/28/2015_13:44:53.775 1 1 1 4 1 no
03/28/2015_13:44:54.790 1 1 1 4 2 no
03/28/2015_13:44:55.790 1 1 1 4 1 no
03/28/2015_13:44:56.790 1 1 1 4 1 no
03/28/2015_13:44:57.806 1 1 3 4 1 no
03/28/2015_13:44:58.806 1 1 1 4 1 no
03/28/2015_13:44:59.806 1 1 1 4 2 no
03/28/2015_13:45:00.822 1 1 1 4 2 no
03/28/2015_13:45:01.822 1 1 1 4 1 no
03/28/2015_13:45:02.837 1 1 1 4 1 no
03/28/2015_13:45:03.837 1 1 1 4 2 no
03/28/2015_13:45:04.853 1 1 1 4 2 no
03/28/2015_13:45:05.853 1 1 1 4 1 no
03/28/2015_13:45:06.868 1 1 1 4 1 no
03/28/2015_13:45:07.884 1 1 1 4 1 no
03/28/2015_13:45:08.884 1 1 1 4 2 no
03/28/2015_13:45:09.884 1 1 1 4 2 no
03/28/2015_13:45:10.884 1 1 1 4 1 no
03/28/2015_13:45:11.900 1 1 1 4 1 no
03/28/2015_13:45:12.900 1 1 1 4 1 no
03/28/2015_13:45:13.900 1 1 1 4 1 no
03/28/2015_13:45:14.915 1 1 1 4 2 no
03/28/2015_13:45:15.915 1 1 1 4 1 no
03/28/2015_13:45:16.915 1 1 1 4 1 no
03/28/2015_13:45:17.931 1 1 1 4 1 no
03/28/2015_13:45:18.931 1 1 1 4 2 no
03/28/2015_13:45:19.931 1 1 1 4 2 no
03/28/2015_13:45:20.947 1 1 1 4 1 no
03/28/2015_13:45:21.947 1 1 1 4 1 no
03/28/2015_13:45:22.947 1 1 1 4 1 no
03/28/2015_13:45:23.962 1 1 1 4 1 no
03/28/2015_13:45:24.978 1 1 1 4 2 no
03/28/2015_13:45:25.978 1 1 1 4 1 no
03/28/2015_13:45:26.993 1 1 1 4 1 no
03/28/2015_13:45:27.993 1 1 1 4 1 no
03/28/2015_13:45:28.993 1 1 1 4 1 no
03/28/2015_13:45:30.009 1 1 1 4 2 no
03/28/2015_13:45:31.009 1 1 1 4 2 no
03/28/2015_13:45:32.025 1 1 1 4 1 no
03/28/2015_13:45:33.025 1 1 1 4 1 no
03/28/2015_13:45:34.025 1 1 1 4 2 no
03/28/2015_13:45:35.025 1 1 1 4 2 no
03/28/2015_13:45:36.025 1 1 1 4 1 no
03/28/2015_13:45:37.025 1 1 1 4 1 no
03/28/2015_13:45:38.025 1 1 1 4 1 no
03/28/2015_13:45:39.025 1 1 1 4 1 no
03/28/2015_13:45:40.040 1 1 1 4 2 no
03/28/2015_13:45:41.040 1 1 1 4 1 no
03/28/2015_13:45:44.165 1 1 1 4 2 no
03/28/2015_13:45:45.181 1 1 1 4 2 no
03/28/2015_13:45:46.197 1 1 1 4 1 no
03/28/2015_13:45:47.212 1 1 1 4 1 no
03/28/2015_13:45:48.212 1 1 1 4 2 no
03/28/2015_13:45:49.212 1 1 1 4 2 no
03/28/2015_13:45:50.212 1 1 1 4 2 no
03/28/2015_13:45:51.228 1 1 1 4 1 no
03/28/2015_13:45:52.243 1 1 1 4 1 no
03/28/2015_13:45:53.243 1 1 1 4 1 no
03/28/2015_13:45:54.243 1 1 1 4 2 no
03/28/2015_13:45:55.259 1 1 1 4 2 no
03/28/2015_13:45:56.275 1 1 1 4 1 no
03/28/2015_13:45:57.275 1 1 1 4 2 no
03/28/2015_13:45:58.275 1 1 1 4 1 no
03/28/2015_13:45:59.275 1 1 1 4 2 no
03/28/2015_13:46:00.275 1 1 1 4 2 no
03/28/2015_13:46:01.275 1 1 1 4 2 no
03/28/2015_13:46:02.290 1 1 1 4 1 no
03/28/2015_13:46:03.290 1 1 1 4 1 no
03/28/2015_13:46:04.290 1 1 1 4 3 yes
03/28/2015_13:46:05.306 1 1 1 4 1 no
03/28/2015_13:46:06.306 1 1 1 4 1 no
03/28/2015_13:46:07.322 1 1 1 4 1 no
03/28/2015_13:46:08.322 1 1 1 4 1 no
03/28/2015_13:46:09.322 1 1 1 4 2 no
03/28/2015_13:46:10.337 1 1 1 4 2 no
03/28/2015_13:46:11.337 1 1 1 4 1 no
03/28/2015_13:46:12.353 1 1 1 4 1 no
03/28/2015_13:46:13.353 1 1 1 4 1 no
03/28/2015_13:46:14.353 1 1 1 4 2 no
03/28/2015_13:46:15.353 1 1 1 4 1 no
03/28/2015_13:46:16.368 1 1 1 4 1 no
03/28/2015_13:46:17.368 1 1 1 4 1 no
03/28/2015_13:46:18.368 1 1 1 4 1 no
03/28/2015_13:46:19.368 1 1 1 4 2 no
03/28/2015_13:46:20.384 1 1 1 4 1 no
03/28/2015_13:46:21.384 1 1 1 4 1 no
03/28/2015_13:46:22.400 1 1 1 4 1 no
03/28/2015_13:46:23.400 1 1 1 4 1 no
03/28/2015_13:46:24.400 1 1 1 4 2 no
03/28/2015_13:46:25.400 1 1 1 4 1 no
03/28/2015_13:46:26.415 1 1 1 4 1 no
03/28/2015_13:46:27.431 1 1 1 4 1 no
03/28/2015_13:46:28.431 1 1 1 4 1 no
03/28/2015_13:46:29.431 1 1 1 4 2 no
03/28/2015_13:46:30.447 1 1 1 4 1 no
03/28/2015_13:46:31.447 1 1 1 4 1 no
03/28/2015_13:46:32.447 1 1 1 4 1 no
03/28/2015_13:46:33.447 1 1 1 4 1 no
03/28/2015_13:46:34.447 1 1 1 4 2 no
03/28/2015_13:46:35.447 1 1 1 4 1 no
03/28/2015_13:46:36.447 1 1 1 4 2 no
03/28/2015_13:46:37.462 1 1 1 4 1 no
03/28/2015_13:46:38.462 1 1 1 4 1 no
03/28/2015_13:46:39.462 1 1 1 4 2 no
03/28/2015_13:46:40.478 1 1 1 4 2 no
03/28/2015_13:46:41.478 1 1 1 4 1 no
03/28/2015_13:46:42.478 1 1 1 4 1 no
03/28/2015_13:46:43.493 1 1 1 4 1 no
03/28/2015_13:46:44.493 1 1 1 4 2 no
03/28/2015_13:46:45.493 1 1 1 4 2 no
03/28/2015_13:46:46.493 1 1 1 4 3 yes
03/28/2015_13:46:47.493 1 1 1 4 2 no
03/28/2015_13:46:48.493 1 1 1 4 1 no
03/28/2015_13:46:49.493 1 1 1 4 2 no
03/28/2015_13:46:50.493 1 1 1 4 2 no
03/28/2015_13:46:51.493 1 1 1 4 1 no
03/28/2015_13:46:52.493 1 1 1 4 1 no
03/28/2015_13:46:53.509 1 1 1 4 2 no
03/28/2015_13:46:54.509 1 1 1 4 2 no
03/28/2015_13:46:55.509 1 1 1 4 3 yes
03/28/2015_13:46:56.525 1 1 1 4 1 no
03/28/2015_13:46:57.525 1 1 1 4 1 no
