Time ICMP_Messages_Sent/sec ICMP_Messages/sec ICMP_Sent_Echo/sec Memory_%_Committed_Bytes_In_Use %_Processor_Time Worm
04/04/2015_14:42:40.671 1 1 1 2 1 no
04/04/2015_14:42:41.671 1 1 1 2 1 no
04/04/2015_14:42:42.671 1 1 1 2 1 no
04/04/2015_14:42:43.671 1 1 1 2 1 no
04/04/2015_14:42:44.671 1 1 1 2 1 no
04/04/2015_14:42:45.671 1 1 1 2 1 no
04/04/2015_14:42:46.671 1 1 1 2 1 no
04/04/2015_14:42:47.671 1 1 1 2 1 no
04/04/2015_14:42:48.671 1 1 1 2 1 no
04/04/2015_14:42:49.671 1 1 1 2 1 no
04/04/2015_14:42:50.671 1 1 1 2 1 no
04/04/2015_14:42:51.671 1 1 1 2 1 no
04/04/2015_14:42:52.671 1 1 1 2 1 no
04/04/2015_14:42:53.671 1 1 1 2 1 no
04/04/2015_14:42:54.671 1 1 1 2 1 no
04/04/2015_14:42:55.671 1 1 1 2 1 no
04/04/2015_14:42:56.671 1 1 1 2 1 no
04/04/2015_14:42:57.671 1 1 1 2 1 no
04/04/2015_14:42:58.671 1 1 1 2 1 no
04/04/2015_14:42:59.671 1 1 1 2 1 no
04/04/2015_14:43:00.671 1 1 1 2 1 no
04/04/2015_14:43:01.671 1 1 1 2 1 no
04/04/2015_14:43:02.671 1 1 1 2 1 no
04/04/2015_14:43:03.671 1 1 1 2 1 no
04/04/2015_14:43:04.671 1 1 1 2 1 no
04/04/2015_14:43:05.671 1 1 1 2 1 no
04/04/2015_14:43:06.671 1 1 1 2 1 no
04/04/2015_14:43:07.671 1 1 1 2 1 no
04/04/2015_14:43:08.671 1 1 1 2 1 no
04/04/2015_14:43:09.671 1 1 1 2 1 no
04/04/2015_14:43:10.671 1 1 1 2 1 no
04/04/2015_14:43:11.671 1 1 1 2 1 no
04/04/2015_14:43:12.671 1 1 1 2 1 no
04/04/2015_14:43:13.671 1 1 1 2 1 no
04/04/2015_14:43:14.671 1 1 1 2 1 no
04/04/2015_14:43:15.671 1 1 1 2 1 no
04/04/2015_14:43:16.671 1 1 1 2 1 no
04/04/2015_14:43:17.671 1 1 1 2 1 no
04/04/2015_14:43:18.671 1 1 1 2 1 no
04/04/2015_14:43:19.671 1 1 1 2 1 no
04/04/2015_14:43:20.671 1 1 1 2 1 no
04/04/2015_14:43:21.671 1 1 1 2 1 no
04/04/2015_14:43:22.671 1 1 1 2 1 no
04/04/2015_14:43:23.671 1 1 1 2 1 no
04/04/2015_14:43:24.671 1 1 1 2 1 no
04/04/2015_14:43:25.671 1 1 1 2 1 no
04/04/2015_14:43:26.671 1 1 1 2 1 no
04/04/2015_14:43:27.671 1 1 1 2 1 no
04/04/2015_14:43:28.671 1 1 1 2 1 no
04/04/2015_14:43:29.671 1 1 1 2 1 no
04/04/2015_14:43:30.671 1 1 1 2 1 no
04/04/2015_14:43:31.671 1 1 1 2 1 no
04/04/2015_14:43:32.671 1 1 1 2 1 no
04/04/2015_14:43:33.671 1 1 1 2 1 no
04/04/2015_14:43:34.671 1 1 1 2 1 no
04/04/2015_14:43:35.671 1 1 1 2 1 no
04/04/2015_14:43:36.671 1 1 1 2 1 no
04/04/2015_14:43:37.671 1 1 1 2 1 no
04/04/2015_14:43:38.671 1 1 1 2 1 no
04/04/2015_14:43:39.671 1 1 1 2 1 no
04/04/2015_14:43:40.671 1 1 1 2 1 no
04/04/2015_14:43:41.671 1 1 1 2 1 no
04/04/2015_14:43:42.671 1 1 1 2 1 no
04/04/2015_14:43:43.671 1 1 1 2 1 no
04/04/2015_14:43:44.671 1 1 1 2 1 no
04/04/2015_14:43:45.671 1 1 1 2 1 no
04/04/2015_14:43:46.671 1 1 1 2 1 no
04/04/2015_14:43:47.671 1 1 1 2 1 no
04/04/2015_14:43:48.671 1 1 1 2 1 no
04/04/2015_14:43:49.671 1 1 1 2 1 no
04/04/2015_14:43:50.671 1 1 1 2 1 no
04/04/2015_14:43:51.671 1 1 1 2 1 no
04/04/2015_14:43:52.671 1 1 1 2 1 no
04/04/2015_14:43:53.671 1 1 1 2 1 no
04/04/2015_14:43:54.671 1 1 1 2 1 no
04/04/2015_14:43:55.671 1 1 1 2 1 no
04/04/2015_14:43:56.671 1 1 1 2 1 no
04/04/2015_14:43:57.671 1 1 1 2 1 no
04/04/2015_14:43:58.671 1 1 1 2 1 no
04/04/2015_14:43:59.671 1 1 1 2 1 no
04/04/2015_14:44:00.671 1 1 1 2 1 no
04/04/2015_14:44:01.671 1 1 1 2 1 no
04/04/2015_14:44:02.671 1 1 1 2 1 no
04/04/2015_14:44:03.671 1 1 1 2 1 no
04/04/2015_14:44:04.671 1 1 1 2 1 no
04/04/2015_14:44:05.671 1 1 1 2 1 no
04/04/2015_14:44:06.671 1 1 1 2 1 no
04/04/2015_14:44:07.671 1 1 1 2 1 no
04/04/2015_14:44:08.671 1 1 1 2 1 no
04/04/2015_14:44:09.671 1 1 1 2 1 no
04/04/2015_14:44:10.671 1 1 1 2 1 no
04/04/2015_14:44:11.671 1 1 1 2 1 no
04/04/2015_14:44:12.671 1 1 1 2 1 no
04/04/2015_14:44:13.671 1 1 1 2 1 no
04/04/2015_14:44:14.671 1 1 1 2 1 no
04/04/2015_14:44:15.671 1 1 1 2 1 no
04/04/2015_14:44:16.671 1 1 1 2 1 no
04/04/2015_14:44:17.671 1 1 1 2 1 no
04/04/2015_14:44:18.671 1 1 1 2 1 no
04/04/2015_14:44:19.671 1 1 1 2 1 no
04/04/2015_14:44:20.671 1 1 1 2 1 no
04/04/2015_14:44:21.671 1 1 1 2 2 no
04/04/2015_14:44:22.671 1 1 1 2 1 no
04/04/2015_14:44:23.671 1 1 1 2 1 no
04/04/2015_14:44:24.671 1 1 1 2 1 no
04/04/2015_14:44:25.671 1 1 1 2 1 no
04/04/2015_14:44:26.671 1 1 1 2 1 no
04/04/2015_14:44:27.671 1 1 1 2 1 no
04/04/2015_14:44:28.671 1 1 1 2 1 no
04/04/2015_14:44:29.671 1 1 1 2 1 no
04/04/2015_14:44:30.671 1 1 1 2 1 no
04/04/2015_14:44:31.671 1 1 1 2 1 no
04/04/2015_14:44:32.671 1 1 1 2 1 no
04/04/2015_14:44:33.671 1 1 1 2 1 no
04/04/2015_14:44:34.671 1 1 1 2 1 no
04/04/2015_14:44:35.671 1 1 1 2 1 no
04/04/2015_14:44:36.671 1 1 1 2 1 no
04/04/2015_14:44:37.671 1 1 1 2 1 no
04/04/2015_14:44:38.671 1 1 1 2 1 no
04/04/2015_14:44:39.671 1 1 1 2 1 no
04/04/2015_14:44:40.671 1 1 1 2 1 no
04/04/2015_14:44:41.671 1 1 1 2 1 no
04/04/2015_14:44:42.671 1 1 1 2 1 no
04/04/2015_14:44:43.671 1 1 1 2 1 no
04/04/2015_14:44:44.671 1 1 1 2 1 no
04/04/2015_14:44:45.671 1 1 1 2 1 no
04/04/2015_14:44:46.671 1 1 1 2 1 no
04/04/2015_14:44:47.671 1 1 1 2 1 no
04/04/2015_14:44:48.671 1 1 1 2 1 no
04/04/2015_14:44:49.671 1 1 1 2 1 no
04/04/2015_14:44:50.671 1 1 1 2 1 no
04/04/2015_14:44:51.671 1 1 1 2 1 no
04/04/2015_14:44:52.671 1 1 1 2 1 no
04/04/2015_14:44:53.671 1 1 1 2 1 no
04/04/2015_14:44:54.671 1 1 1 2 1 no
04/04/2015_14:44:55.671 1 1 1 2 1 no
04/04/2015_14:44:56.671 1 1 1 2 1 no
04/04/2015_14:44:57.671 1 1 1 2 1 no
04/04/2015_14:44:58.671 1 1 1 2 1 no
04/04/2015_14:44:59.671 1 1 1 2 1 no
04/04/2015_14:45:00.671 1 1 1 2 1 no
04/04/2015_14:45:01.671 1 2 4 2 1 no
04/04/2015_14:45:02.671 1 2 4 2 1 no
04/04/2015_14:45:03.671 1 2 4 2 1 no
04/04/2015_14:45:04.671 1 2 4 2 1 no
04/04/2015_14:45:05.671 1 1 3 2 4 yes
04/04/2015_14:45:06.687 1 1 1 3 4 yes
04/04/2015_14:45:07.687 1 1 1 3 4 yes
04/04/2015_14:45:08.687 1 1 1 3 4 yes
04/04/2015_14:45:09.703 1 1 1 3 4 yes
04/04/2015_14:45:10.703 1 1 4 3 4 yes
04/04/2015_14:45:11.703 1 1 1 3 4 yes
04/04/2015_14:45:12.703 1 1 1 3 4 yes
04/04/2015_14:45:13.703 1 1 1 4 4 yes
04/04/2015_14:45:14.703 1 1 1 4 4 yes
04/04/2015_14:45:15.703 1 1 1 4 4 yes
04/04/2015_14:45:16.703 1 1 4 4 4 yes
04/04/2015_14:45:17.703 1 1 1 4 4 yes
04/04/2015_14:45:18.703 1 1 1 4 4 yes
04/04/2015_14:45:19.703 1 1 1 4 4 yes
04/04/2015_14:45:20.703 1 1 1 4 4 yes
04/04/2015_14:45:21.703 1 1 3 4 4 yes
04/04/2015_14:45:22.703 1 1 1 4 4 yes
04/04/2015_14:45:23.703 1 1 1 4 2 no
04/04/2015_14:45:24.703 1 1 1 4 3 yes
04/04/2015_14:45:25.703 1 1 1 4 3 yes
04/04/2015_14:45:26.703 1 2 4 4 4 yes
04/04/2015_14:45:27.718 1 1 3 4 4 yes
04/04/2015_14:45:28.734 1 1 3 4 4 yes
04/04/2015_14:45:29.734 1 2 4 4 4 yes
04/04/2015_14:45:30.734 1 1 1 4 4 yes
04/04/2015_14:45:31.734 1 2 4 4 3 yes
04/04/2015_14:45:32.734 1 2 4 4 4 yes
04/04/2015_14:45:33.734 1 1 3 4 4 yes
04/04/2015_14:45:34.750 1 1 3 4 4 yes
04/04/2015_14:45:35.750 1 1 1 4 4 yes
04/04/2015_14:45:36.750 1 1 3 4 3 yes
04/04/2015_14:45:37.750 1 1 1 4 4 yes
04/04/2015_14:45:38.750 1 1 1 4 4 yes
04/04/2015_14:45:39.750 1 1 1 4 3 yes
04/04/2015_14:45:40.765 1 1 1 4 2 no
04/04/2015_14:45:41.781 1 1 1 4 2 no
04/04/2015_14:45:42.781 1 2 4 4 4 yes
04/04/2015_14:45:43.781 1 2 4 4 4 yes
04/04/2015_14:45:44.781 1 1 3 4 4 yes
04/04/2015_14:45:45.781 1 1 1 4 4 yes
04/04/2015_14:45:46.781 1 1 1 4 4 yes
04/04/2015_14:45:47.781 1 1 1 4 4 yes
04/04/2015_14:45:48.781 1 1 1 4 4 yes
